Champion,Emoji 1,Emoji 2,Emoji 3
Sona,🎶,🎻,💙
Soraka,🦄,🌟,💚
Swain,🦅,🔥,🧠
Sylas,🔗,💥,😠
Syndra,🔮,🌀,👁️
Tahm Kench,🐸,👅,🪑
Taliyah,🪨,🌊,🌀
Talon,🗡️,🏙️,🕶️
Taric,💎,🛡️,🌈
Teemo,🍄,😈,🏹
Thresh,💀,🪝,🔗
Tristana,🔫,🧨,😄
Trundle,🧌,🪓,❄️
Tryndamere,🗡️,💢,👑
Twisted Fate,🃏,💥,🎩
Twitch,🐀,🔫,☣️
Udyr,🐻,🔥,🌲
Urgot,🦾,💀,🛠️
Varus,🏹,💀,🩸
Vayne,🏹,🦇,🌒
Veigar,🎩,💥,🔮
Vel'Koz,👁️,🔬,🌀
Vex,😒,🌫️,🌀
Vi,👊,🔩,💥
Viego,👑,💔,🗡️
Viktor,🔧,🧠,⚡
Vladimir,🩸,🧛,💀
Volibear,🐻,⚡,💥
Warwick,🐺,🩸,🔗
Wukong,🐒,🌀,🪄
Xayah,🪶,💕,🏹
Xerath,⚡,🔮,🏺
Xin Zhao,🛡️,🗡️,🐎
Yasuo,🌬️,🗡️,🎵
Yone,🗡️,👹,🌫️
Yorick,🪦,💀,🪓
Yuumi,🐱,📖,✨
Zac,🟢,💧,🧪
Zed,🥷,🌑,🗡️
Zeri,⚡,🔫,🛹
Ziggs,💣,🧠,😜
Zilean,⏳,🕰️,👴
Zoe,🌈,✨,🌟
Zyra,🌿,🌺,🐍
Smolder,🐉,🔥,🐣
Aurora,🐇,🌌,✨
Ambessa,⚔️,👑,🦁
Mel,🏛️,💎,🎨
